Ensembl id,Coding or Non-coding,Score
ENST00000607963.1,Non-coding,0.1663065
ENST00000441613.1,Non-coding,0.16689149
ENST00000664303.2,Non-coding,0.34429023
ENST00000666466.2,Coding,0.5485458
ENST00000659429.1,Non-coding,0.42730248
ENST00000421866.1,Non-coding,0.426633
ENST00000653192.1,Coding,0.6800977
ENST00000604546.1,Non-coding,0.40497214
ENST00000605085.1,Coding,0.7174985
ENST00000685055.1,Non-coding,0.17569566
ENST00000452962.1,Non-coding,0.16896412
ENST00000436772.2,Non-coding,0.25252286
ENST00000447623.3,Non-coding,0.435862
ENST00000686282.1,Coding,0.68216807
ENST00000685687.1,Coding,0.7748291
ENST00000690090.1,Non-coding,0.46754187
ENST00000687157.1,Non-coding,0.34992495
ENST00000453136.6,Coding,0.77676547
ENST00000454348.1,Coding,0.58690614
ENST00000422665.1,Coding,0.95052433
ENST00000430312.1,Coding,0.83906746
ENST00000455788.1,Coding,0.51067764
ENST00000446880.5,Coding,0.78815144
ENST00000543656.2,Non-coding,0.47030064
ENST00000443642.1,Coding,0.92313975
ENST00000450199.1,Coding,0.53978
ENST00000458371.1,Non-coding,0.46124527
ENST00000456633.2,Coding,0.72747964
ENST00000452809.1,Coding,0.8895808
ENST00000456382.2,Coding,0.73957396
ENST00000668003.1,Non-coding,0.42276415
ENST00000432858.1,Coding,0.8312851
ENST00000610146.1,Non-coding,0.299728
ENST00000415726.1,Non-coding,0.04241024
ENST00000650235.1,Non-coding,0.35290533
ENST00000671325.1,Coding,0.5612295
ENST00000664369.1,Coding,0.7844718
ENST00000451362.1,Coding,0.73697436
ENST00000608007.1,Non-coding,0.1881263
ENST00000400991.6,Non-coding,0.12119852
ENST00000368242.7,Non-coding,0.17014052
ENST00000673141.1,Non-coding,0.38487
ENST00000471156.5,Non-coding,0.16904806
ENST00000368243.6,Non-coding,0.27946287
ENST00000497824.5,Non-coding,0.26960823
ENST00000488498.2,Non-coding,0.196451
ENST00000465270.5,Non-coding,0.4556598
ENST00000462458.5,Non-coding,0.100414075
ENST00000486517.5,Coding,0.6499302
ENST00000465570.1,Non-coding,0.07230156
ENST00000310027.9,Coding,0.59668154
ENST00000498346.1,Non-coding,0.3277091
ENST00000497822.5,Coding,0.8152699
ENST00000492750.5,Coding,0.70274276
ENST00000357975.4,Coding,0.61742646
ENST00000464238.5,Coding,0.5352772
ENST00000482932.5,Coding,0.5263274
ENST00000489918.1,Coding,0.63293463
ENST00000484428.5,Coding,0.80855376
ENST00000489877.5,Coding,0.77060825
ENST00000476966.5,Coding,0.81461835
ENST00000463309.5,Non-coding,0.27838418
ENST00000464203.1,Non-coding,0.12946117
ENST00000469813.1,Non-coding,0.09191898
ENST00000495000.1,Non-coding,0.33518663
ENST00000663987.1,Non-coding,0.24943596
ENST00000441085.6,Coding,0.9558235
ENST00000656222.1,Coding,0.74907357
ENST00000452465.2,Coding,0.6945441
ENST00000667036.1,Non-coding,0.34747973
ENST00000689293.1,Non-coding,0.3014641
ENST00000687258.1,Non-coding,0.11872098
ENST00000564032.1,Non-coding,0.21713541
ENST00000609800.1,Non-coding,0.08870145
ENST00000606343.1,Coding,0.65315884
ENST00000605886.1,Coding,0.74597895
ENST00000448869.1,Coding,0.9821476
ENST00000441272.2,Coding,0.5918112
ENST00000650347.1,Non-coding,0.11419559
ENST00000428641.1,Non-coding,0.07125741
ENST00000661978.1,Coding,0.51350147
ENST00000449345.1,Non-coding,0.21701048
ENST00000662441.1,Non-coding,0.015634913
ENST00000670336.1,Non-coding,0.11621757
ENST00000662968.1,Non-coding,0.015288936
ENST00000607010.1,Non-coding,0.22657648
ENST00000453692.1,Non-coding,0.4364588
ENST00000419415.1,Coding,0.6516849
ENST00000656134.1,Non-coding,0.30026206
ENST00000670135.1,Coding,0.50652164
ENST00000665549.1,Non-coding,0.17695184
ENST00000414848.2,Non-coding,0.26346156
ENST00000666137.1,Non-coding,0.19112842
ENST00000655195.1,Non-coding,0.19775723
ENST00000656498.1,Non-coding,0.34654394
ENST00000635685.1,Non-coding,0.3376655
ENST00000658278.1,Coding,0.74186325
ENST00000442358.6,Non-coding,0.19340958
ENST00000663787.1,Non-coding,0.10036261
ENST00000654630.1,Non-coding,0.20493065
ENST00000415019.1,Non-coding,0.27864832
ENST00000419738.1,Coding,0.7068378
ENST00000426251.1,Non-coding,0.23641816
ENST00000415675.3,Coding,0.8580299
ENST00000609696.1,Non-coding,0.24736592
ENST00000431862.1,Non-coding,0.02565587
ENST00000412932.1,Coding,0.6039926
ENST00000693113.1,Non-coding,0.10645444
ENST00000688756.1,Non-coding,0.025959535
ENST00000675823.1,Non-coding,0.27767345
ENST00000675556.1,Non-coding,0.39269385
ENST00000676197.1,Coding,0.5178492
ENST00000674833.1,Non-coding,0.43218914
ENST00000674800.1,Coding,0.5120152
ENST00000674949.1,Non-coding,0.47977835
ENST00000675192.1,Coding,0.51965225
ENST00000675704.1,Coding,0.55089974
ENST00000674760.1,Coding,0.5872036
ENST00000674603.1,Coding,0.6151107
ENST00000676072.1,Non-coding,0.2159574
ENST00000676285.1,Coding,0.5682715
ENST00000675457.1,Non-coding,0.48409706
ENST00000491974.2,Coding,0.6707243
ENST00000675103.1,Non-coding,0.19452521
ENST00000675766.1,Coding,0.59520406
ENST00000674808.1,Non-coding,0.49955264
ENST00000644477.2,Coding,0.5277405
ENST00000676131.1,Non-coding,0.19497614
ENST00000676093.1,Non-coding,0.24980411
ENST00000675716.1,Non-coding,0.18144716
ENST00000676249.1,Non-coding,0.16854759
ENST00000675503.1,Coding,0.67864496
ENST00000674714.1,Non-coding,0.44622943
ENST00000674922.1,Coding,0.9709076
ENST00000621242.2,Coding,0.96482766
ENST00000674683.1,Coding,0.93023384
ENST00000676338.1,Coding,0.84768665
ENST00000675285.1,Coding,0.9327969
ENST00000608430.2,Coding,0.5359186
ENST00000657346.1,Coding,0.59773314
ENST00000623350.1,Coding,0.58586365
ENST00000657602.1,Coding,0.79151267
ENST00000423943.3,Non-coding,0.073147975
ENST00000443364.6,Non-coding,0.07638521
ENST00000635112.1,Non-coding,0.043538723
ENST00000435580.2,Non-coding,0.1660435
ENST00000662080.1,Non-coding,0.088079065
ENST00000418602.1,Coding,0.7645634
ENST00000656013.1,Coding,0.5396379
ENST00000442130.1,Non-coding,0.39845946
ENST00000642063.1,Coding,0.6444694
ENST00000446952.1,Coding,0.68799007
ENST00000598917.6,Coding,0.60781133
ENST00000443928.6,Non-coding,0.028851802
ENST00000588034.5,Non-coding,0.17126903
ENST00000621431.3,Coding,0.7050468
ENST00000627180.2,Non-coding,0.05504785
ENST00000630436.2,Coding,0.6136223
ENST00000627996.2,Coding,0.9269885
ENST00000626085.2,Coding,0.6387141
ENST00000627799.2,Coding,0.5938464
ENST00000628340.1,Non-coding,0.050351422
ENST00000427339.1,Non-coding,0.062349193
ENST00000356006.3,Non-coding,0.18029013
ENST00000690903.1,Non-coding,0.123297304
ENST00000447167.1,Non-coding,0.4759146
ENST00000420498.1,Coding,0.75369954
ENST00000685721.1,Non-coding,0.003277499
ENST00000437833.2,Non-coding,0.4428785
ENST00000688159.1,Non-coding,0.040939204
ENST00000636161.1,Coding,0.8734546
ENST00000667751.1,Non-coding,0.17040564
ENST00000637155.1,Coding,0.53911805
ENST00000636824.1,Coding,0.8292695
ENST00000537821.2,Coding,0.92162514
ENST00000691016.1,Non-coding,0.32577872
ENST00000419446.1,Non-coding,0.1213093
ENST00000453111.1,Non-coding,0.1839177
ENST00000626340.1,Non-coding,0.22444117
ENST00000431097.2,Coding,0.83128643
ENST00000430905.1,Non-coding,0.046672028
ENST00000648032.1,Non-coding,0.25480813
ENST00000671049.1,Non-coding,0.3094776
ENST00000447899.1,Non-coding,0.16871363
ENST00000563991.1,Coding,0.84449273
ENST00000609669.1,Non-coding,0.20846681
ENST00000415437.1,Non-coding,0.058321286
ENST00000451759.5,Non-coding,0.39133984
ENST00000449680.5,Non-coding,0.15390982
ENST00000427213.5,Non-coding,0.0689852
ENST00000429865.5,Coding,0.92850703
ENST00000528019.5,Non-coding,0.21013828
ENST00000528689.5,Non-coding,0.31778157
ENST00000439699.1,Coding,0.71649617
ENST00000528818.1,Non-coding,0.08123427
ENST00000526176.1,Non-coding,0.41573906
ENST00000416401.1,Non-coding,0.022195846
ENST00000602747.1,Coding,0.70373756
ENST00000421530.1,Non-coding,0.11660411
ENST00000607752.1,Non-coding,0.1663402
ENST00000688533.1,Non-coding,0.021258982
ENST00000457106.1,Non-coding,0.20028217
ENST00000668780.1,Coding,0.82549316
ENST00000441773.1,Coding,0.69288784
ENST00000426178.1,Non-coding,0.42464957
ENST00000690583.1,Non-coding,0.18340789
ENST00000415000.2,Non-coding,0.31497318
ENST00000690955.1,Non-coding,0.12885952
ENST00000656941.1,Non-coding,0.15599804
ENST00000690611.1,Non-coding,0.26704478
ENST00000685058.1,Non-coding,0.064141355
ENST00000685245.1,Non-coding,0.037139896
ENST00000658987.1,Non-coding,0.1677961
ENST00000665666.1,Coding,0.5266946
ENST00000416424.5,Non-coding,0.29262376
ENST00000421273.5,Non-coding,0.44802517
ENST00000688379.1,Non-coding,0.37042195
ENST00000666433.1,Non-coding,0.27950037
ENST00000692705.1,Non-coding,0.49762738
ENST00000438275.5,Coding,0.5948726
ENST00000452283.5,Non-coding,0.23222458
ENST00000418925.1,Coding,0.75445515
ENST00000454251.1,Coding,0.96199745
ENST00000669787.1,Non-coding,0.19059105
ENST00000654631.1,Non-coding,0.107914396
ENST00000659914.1,Non-coding,0.2156819
ENST00000452618.1,Non-coding,0.09045032
ENST00000608512.1,Non-coding,0.01342408
ENST00000423121.1,Coding,0.8102285
ENST00000626270.2,Non-coding,0.13171974
ENST00000455257.2,Non-coding,0.25094938
ENST00000366136.2,Non-coding,0.4723152
ENST00000451784.1,Non-coding,0.107003875
ENST00000653824.2,Coding,0.8737249
ENST00000425271.1,Non-coding,0.15723996
ENST00000448643.1,Non-coding,0.34834382
ENST00000662326.1,Non-coding,0.02851503
ENST00000426519.2,Non-coding,0.07183012
ENST00000417644.1,Non-coding,0.2965974
ENST00000457941.6,Non-coding,0.12984908
ENST00000426709.5,Non-coding,0.37585586
ENST00000428030.5,Non-coding,0.007886938
ENST00000446687.1,Non-coding,0.34072736
ENST00000606967.1,Non-coding,0.2573594
ENST00000607611.1,Non-coding,0.15238297
ENST00000660512.1,Coding,0.5029714
ENST00000417969.1,Coding,0.68325424
ENST00000610044.1,Non-coding,0.04004995
ENST00000451992.2,Coding,0.6274811
ENST00000451545.1,Non-coding,0.019917732
ENST00000441851.1,Non-coding,0.04306539
ENST00000636459.1,Non-coding,0.061098665
ENST00000650143.1,Non-coding,0.074028015
ENST00000655809.1,Non-coding,0.089024454
ENST00000660568.1,Non-coding,0.077029124
ENST00000693652.1,Non-coding,0.108503975
ENST00000686791.1,Non-coding,0.14830047
ENST00000422253.1,Non-coding,0.108241476
ENST00000655897.2,Non-coding,0.07881586
ENST00000687227.1,Non-coding,0.16467525
ENST00000684886.1,Non-coding,0.19139916
ENST00000686713.1,Non-coding,0.13914444
ENST00000422548.1,Non-coding,0.49753585
ENST00000650631.1,Coding,0.5377405
ENST00000684994.1,Coding,0.8262909
ENST00000457405.1,Non-coding,0.015112399
ENST00000663134.1,Non-coding,0.06031442
ENST00000669234.1,Non-coding,0.081101835
ENST00000667346.1,Non-coding,0.043943748
ENST00000670921.1,Non-coding,0.07845162
ENST00000420691.1,Non-coding,0.07706884
ENST00000665467.1,Non-coding,0.17028657
ENST00000661054.1,Non-coding,0.10310997
ENST00000366408.3,Non-coding,0.050939128
ENST00000660116.1,Non-coding,0.035334885
ENST00000415637.1,Non-coding,0.2077586
ENST00000688641.1,Non-coding,0.3210469
ENST00000432081.1,Non-coding,0.4895154
ENST00000392097.5,Coding,0.7602043
ENST00000454271.1,Non-coding,0.045330524
ENST00000440321.1,Non-coding,0.47199884
ENST00000661719.1,Non-coding,0.09945201
ENST00000666308.1,Non-coding,0.049407616
ENST00000671647.1,Non-coding,0.0997292
ENST00000669113.1,Non-coding,0.15511769
ENST00000654909.1,Non-coding,0.11283108
ENST00000669112.1,Non-coding,0.24052195
ENST00000669101.1,Non-coding,0.29608652
ENST00000654877.1,Non-coding,0.26707542
ENST00000439184.1,Non-coding,0.05197966
ENST00000660112.1,Non-coding,0.20988645
ENST00000657208.1,Non-coding,0.041812684
ENST00000661826.1,Non-coding,0.05140867
ENST00000657163.1,Non-coding,0.03585902
ENST00000440404.6,Non-coding,0.05558967
ENST00000451439.1,Non-coding,0.34554505
ENST00000416416.1,Non-coding,0.028661702
ENST00000446102.1,Non-coding,0.02444757
ENST00000456083.5,Non-coding,0.28785542
ENST00000654034.1,Non-coding,0.4003937
ENST00000421020.1,Non-coding,0.033179663
ENST00000426090.1,Non-coding,0.17845567
ENST00000413005.1,Non-coding,0.03833767
ENST00000606154.1,Non-coding,0.11817492
ENST00000669750.1,Non-coding,0.39567232
ENST00000670085.1,Non-coding,0.19072464
ENST00000664920.1,Non-coding,0.45016015
ENST00000653116.1,Non-coding,0.16706814
ENST00000455124.2,Non-coding,0.34522158
ENST00000422841.5,Non-coding,0.10206008
ENST00000445909.5,Non-coding,0.14212322
ENST00000445290.1,Non-coding,0.012860623
ENST00000450800.1,Non-coding,0.022625826
ENST00000417354.3,Non-coding,0.2944998
ENST00000648228.1,Non-coding,0.27134937
ENST00000650013.1,Non-coding,0.24684702
ENST00000648909.1,Coding,0.7685797
ENST00000650189.1,Coding,0.8440143
ENST00000650416.1,Non-coding,0.065789044
ENST00000661895.1,Non-coding,0.16261448
ENST00000624123.1,Coding,0.71147275
ENST00000432694.2,Non-coding,0.2094371
ENST00000452366.1,Non-coding,0.0640238
ENST00000436974.1,Non-coding,0.18300189
ENST00000661092.1,Non-coding,0.22688435
ENST00000367716.3,Coding,0.81624424
ENST00000660739.1,Coding,0.76378417
ENST00000661267.1,Coding,0.52094173
ENST00000669220.1,Non-coding,0.11573366
ENST00000437190.2,Non-coding,0.12606122
ENST00000654650.1,Non-coding,0.31723467
ENST00000659863.1,Coding,0.6726139
ENST00000654140.1,Non-coding,0.08863779
ENST00000689755.1,Coding,0.9003826
ENST00000684789.1,Coding,0.9003826
ENST00000688677.1,Coding,0.7011318
ENST00000431459.1,Non-coding,0.26082337
ENST00000693292.1,Non-coding,0.19069527
ENST00000651080.1,Coding,0.827079
ENST00000687189.1,Non-coding,0.4975956
ENST00000690228.1,Coding,0.58672035
ENST00000688573.1,Coding,0.7634026
ENST00000686995.1,Coding,0.600091
ENST00000689958.1,Coding,0.6832192
ENST00000687063.1,Coding,0.6026293
ENST00000689895.1,Coding,0.67961836
ENST00000689238.1,Coding,0.71389395
ENST00000687549.1,Coding,0.68416476
ENST00000687435.1,Coding,0.5040948
ENST00000687987.1,Coding,0.7040654
ENST00000449289.6,Coding,0.5449963
ENST00000691213.1,Coding,0.71717376
ENST00000412059.6,Coding,0.7481662
ENST00000685107.1,Coding,0.8594799
ENST00000450589.6,Coding,0.80426586
ENST00000448718.6,Coding,0.5546659
ENST00000693348.1,Coding,0.9146911
ENST00000690349.1,Coding,0.88122433
ENST00000690761.1,Coding,0.5305346
ENST00000687022.1,Coding,0.57336384
ENST00000686878.1,Coding,0.9374994
ENST00000436285.6,Coding,0.7017539
ENST00000436656.6,Coding,0.73909426
ENST00000422008.6,Coding,0.6876303
ENST00000691137.1,Coding,0.5121492
ENST00000452197.5,Coding,0.6455992
ENST00000456812.7,Non-coding,0.43607894
ENST00000431268.5,Coding,0.84154755
ENST00000455838.6,Coding,0.86075246
ENST00000449589.6,Non-coding,0.377684
ENST00000444470.6,Coding,0.81229484
ENST00000693469.1,Coding,0.78048897
ENST00000685758.1,Coding,0.6458466
ENST00000458220.2,Coding,0.7851417
ENST00000687409.1,Coding,0.723853
ENST00000688952.1,Coding,0.5540213
ENST00000689860.1,Coding,0.6738878
ENST00000686918.1,Coding,0.5618136
ENST00000691056.1,Coding,0.65298265
ENST00000689469.1,Non-coding,0.4855276
ENST00000685039.1,Coding,0.76398885
ENST00000414075.6,Coding,0.8868563
ENST00000692994.1,Coding,0.9195559
ENST00000691982.1,Coding,0.5914952
ENST00000690172.1,Coding,0.92177594
ENST00000686460.1,Coding,0.7337193
ENST00000691712.1,Coding,0.7711647
ENST00000685159.1,Coding,0.65017474
ENST00000685008.1,Coding,0.7951779
ENST00000422183.6,Coding,0.54504776
ENST00000442067.6,Coding,0.8615963
ENST00000693450.1,Coding,0.6910981
ENST00000690448.1,Coding,0.8161195
ENST00000416952.6,Non-coding,0.48385403
ENST00000688895.1,Non-coding,0.48156443
ENST00000687710.1,Coding,0.68554455
ENST00000693030.1,Coding,0.53827417
ENST00000692671.1,Coding,0.57140166
ENST00000688557.1,Non-coding,0.49161214
ENST00000430245.5,Coding,0.78866184
ENST00000454813.1,Coding,0.7755488
ENST00000422207.5,Coding,0.86787856
ENST00000454068.5,Coding,0.7775706
ENST00000650796.1,Coding,0.63411725
ENST00000434796.5,Coding,0.80698115
ENST00000451607.5,Coding,0.915247
ENST00000693521.1,Coding,0.6090398
ENST00000690941.1,Coding,0.8679047
ENST00000693459.1,Coding,0.66144717
ENST00000686231.1,Non-coding,0.42889678
ENST00000684949.1,Coding,0.6470829
ENST00000425771.6,Coding,0.5754121
ENST00000432536.5,Coding,0.8614018
ENST00000456293.5,Coding,0.96479446
ENST00000443799.5,Coding,0.86047447
ENST00000421068.5,Coding,0.65377784
ENST00000602767.2,Non-coding,0.34153563
ENST00000421851.1,Coding,0.50500625
ENST00000424181.1,Coding,0.93799645
ENST00000688280.1,Coding,0.92502135
ENST00000665650.1,Non-coding,0.49740836
ENST00000659243.1,Coding,0.512969
ENST00000426899.6,Non-coding,0.36181432
ENST00000419983.5,Coding,0.9803946
ENST00000454467.5,Non-coding,0.30625913
ENST00000430592.1,Non-coding,0.08181513
ENST00000656058.1,Non-coding,0.20436212
ENST00000414890.1,Coding,0.8405941
ENST00000452442.5,Non-coding,0.03563514
ENST00000448686.2,Non-coding,0.029406175
ENST00000686005.1,Non-coding,0.10863423
ENST00000670650.1,Coding,0.7381914
ENST00000412357.1,Non-coding,0.06875979
ENST00000569593.1,Coding,0.6530376
ENST00000455447.1,Non-coding,0.025223942
ENST00000457217.1,Non-coding,0.16645743
ENST00000426575.2,Non-coding,0.13092889
ENST00000426030.2,Non-coding,0.039487194
ENST00000691278.1,Non-coding,0.23646297
ENST00000456125.2,Non-coding,0.23651324
ENST00000691174.1,Non-coding,0.1107416
ENST00000654248.1,Non-coding,0.20903398
ENST00000660913.1,Non-coding,0.023110446
ENST00000662545.1,Non-coding,0.025708452
ENST00000451341.3,Non-coding,0.45065337
ENST00000659805.1,Non-coding,0.2006372
ENST00000666721.1,Non-coding,0.04670622
ENST00000663166.1,Non-coding,0.023473116
ENST00000670676.1,Non-coding,0.023990115
ENST00000670762.1,Non-coding,0.037691124
ENST00000663978.1,Non-coding,0.015432243
ENST00000654501.1,Non-coding,0.02791461
ENST00000670728.1,Non-coding,0.019402906
ENST00000660865.1,Non-coding,0.030372541
ENST00000438575.6,Non-coding,0.029862875
ENST00000671550.1,Non-coding,0.01949202
ENST00000664407.1,Non-coding,0.020095855
ENST00000670039.1,Non-coding,0.15021852
ENST00000458070.1,Non-coding,0.084393516
ENST00000427173.1,Non-coding,0.04861069
ENST00000654430.1,Non-coding,0.075591855
ENST00000670282.1,Non-coding,0.03994164
ENST00000354921.7,Coding,0.50776166
ENST00000466953.6,Non-coding,0.48233154
ENST00000464428.2,Coding,0.83594775
ENST00000654141.1,Coding,0.80600196
ENST00000421505.1,Coding,0.66329247
ENST00000419458.1,Coding,0.7636686
ENST00000452867.1,Non-coding,0.46402475
ENST00000647674.1,Non-coding,0.108640835
ENST00000367638.1,Coding,0.58843464
ENST00000521244.1,Non-coding,0.15036575
ENST00000608190.1,Coding,0.6076369
ENST00000608517.1,Coding,0.7639187
ENST00000690027.1,Non-coding,0.39902133
ENST00000569644.1,Non-coding,0.18760273
ENST00000567150.1,Non-coding,0.49329826
ENST00000669730.1,Coding,0.89253414
ENST00000423879.5,Coding,0.9240927
ENST00000451471.1,Coding,0.76753867
ENST00000453051.5,Non-coding,0.3103463
ENST00000415218.1,Non-coding,0.49621958
ENST00000442108.1,Coding,0.546887
ENST00000610272.1,Coding,0.9818455
ENST00000567486.2,Non-coding,0.12341212
ENST00000567904.1,Non-coding,0.31331992
ENST00000566904.1,Non-coding,0.39254984
ENST00000673955.1,Non-coding,0.14951831
ENST00000662859.1,Non-coding,0.14318284
ENST00000648175.1,Non-coding,0.062320333
ENST00000442621.1,Non-coding,0.11354433
ENST00000668742.1,Non-coding,0.13509242
ENST00000660699.1,Non-coding,0.15456858
ENST00000434447.5,Non-coding,0.21790433
ENST00000422858.1,Non-coding,0.12828504
ENST00000358073.2,Non-coding,0.37123254
ENST00000415647.1,Non-coding,0.3330368
ENST00000690498.1,Non-coding,0.0819094
ENST00000435023.1,Non-coding,0.24555567
ENST00000438428.1,Non-coding,0.06922229
ENST00000456771.1,Non-coding,0.26499528
ENST00000319701.2,Coding,0.7363639
ENST00000661326.1,Non-coding,0.059141703
ENST00000609720.1,Non-coding,0.070973985
ENST00000671017.1,Non-coding,0.31065664
ENST00000411509.1,Non-coding,0.22243421
ENST00000428646.1,Non-coding,0.17797348
ENST00000663078.1,Coding,0.5239979
ENST00000653755.1,Non-coding,0.24260552
ENST00000449842.2,Non-coding,0.03078804
ENST00000608183.1,Non-coding,0.29332733
ENST00000420760.1,Coding,0.92802066
ENST00000658912.1,Non-coding,0.26080263
ENST00000412174.1,Non-coding,0.06267867
ENST00000649049.1,Non-coding,0.06517538
ENST00000689453.1,Non-coding,0.12656069
ENST00000367563.7,Non-coding,0.11561793
ENST00000612603.1,Non-coding,0.08890711
ENST00000566297.1,Non-coding,0.12112542
ENST00000435492.1,Coding,0.6496721
ENST00000661321.1,Non-coding,0.3451426
ENST00000457852.3,Non-coding,0.23931666
ENST00000661878.1,Coding,0.69052905
ENST00000656270.1,Non-coding,0.041556314
ENST00000421703.5,Non-coding,0.49778327
ENST00000663067.1,Non-coding,0.06970358
ENST00000432837.1,Non-coding,0.39701366
ENST00000624060.1,Coding,0.5483716
ENST00000690711.1,Coding,0.61246514
ENST00000684838.1,Non-coding,0.052763972
ENST00000665299.1,Non-coding,0.050139938
ENST00000451829.1,Non-coding,0.24317935
ENST00000685856.1,Non-coding,0.08372109
ENST00000664793.1,Non-coding,0.113423795
ENST00000449525.1,Coding,0.7510914
ENST00000605589.1,Coding,0.78430283
ENST00000414377.1,Non-coding,0.28903037
ENST00000660403.1,Non-coding,0.16888772
ENST00000657103.1,Non-coding,0.37216192
ENST00000648800.1,Non-coding,0.186952
ENST00000653410.1,Non-coding,0.3273571
ENST00000658878.1,Non-coding,0.23695375
ENST00000566476.2,Non-coding,0.04958529
ENST00000623474.1,Non-coding,0.033065017
ENST00000609881.1,Non-coding,0.13282813
ENST00000622958.1,Coding,0.6423319
ENST00000667194.1,Non-coding,0.2715308
ENST00000655976.1,Non-coding,0.06514447
ENST00000439633.7,Non-coding,0.078367986
ENST00000608417.6,Non-coding,0.3023167
ENST00000669266.1,Non-coding,0.25014767
ENST00000665770.1,Non-coding,0.055744138
ENST00000670075.1,Non-coding,0.2060401
ENST00000609066.6,Non-coding,0.08084634
ENST00000667796.1,Non-coding,0.056330983
ENST00000655092.1,Non-coding,0.2475462
ENST00000665129.1,Non-coding,0.33378768
ENST00000657435.1,Coding,0.536837
ENST00000665999.1,Non-coding,0.3574954
ENST00000667960.1,Non-coding,0.039131176
ENST00000654367.1,Non-coding,0.19288497
ENST00000655693.1,Non-coding,0.11886742
ENST00000670065.1,Non-coding,0.04771773
ENST00000654596.1,Coding,0.615849
ENST00000666202.1,Coding,0.8265345
ENST00000436955.1,Coding,0.9467284
ENST00000669189.1,Non-coding,0.35896945
ENST00000662341.1,Non-coding,0.28871635
ENST00000658071.1,Non-coding,0.024765225
ENST00000665571.1,Non-coding,0.08470342
ENST00000569292.1,Non-coding,0.033960935
ENST00000428391.1,Coding,0.76469046
ENST00000659717.1,Non-coding,0.047266137
ENST00000665030.1,Non-coding,0.38027334
ENST00000660380.1,Coding,0.6014199
ENST00000657692.1,Coding,0.6133182
ENST00000662990.1,Non-coding,0.10178227
ENST00000660991.1,Non-coding,0.23922876
ENST00000622121.1,Non-coding,0.16453996
ENST00000429768.1,Non-coding,0.04194636
ENST00000655945.1,Non-coding,0.10328739
ENST00000609032.1,Non-coding,0.1325821
ENST00000669256.1,Non-coding,0.41268596
ENST00000608917.2,Coding,0.6455583
ENST00000643891.1,Coding,0.85338855
ENST00000609113.2,Coding,0.8884785
ENST00000657376.1,Coding,0.77714175
ENST00000670356.1,Coding,0.5717822
ENST00000645691.1,Non-coding,0.1531925
ENST00000458683.1,Non-coding,0.47179422
ENST00000642737.1,Non-coding,0.4614598
ENST00000644648.1,Non-coding,0.049200527
ENST00000667049.1,Non-coding,0.040835153
ENST00000644419.1,Non-coding,0.040437963
ENST00000667298.1,Non-coding,0.11076839
ENST00000429725.1,Coding,0.55701286
ENST00000664099.1,Non-coding,0.22517669
ENST00000662036.1,Non-coding,0.38338563
ENST00000659970.1,Non-coding,0.38056374
ENST00000692148.1,Non-coding,0.422685
ENST00000643044.1,Non-coding,0.4226607
ENST00000614505.1,Coding,0.56344
ENST00000648838.2,Coding,0.5306679
ENST00000569873.1,Non-coding,0.06720027
ENST00000426262.1,Non-coding,0.23322804
ENST00000432976.2,Non-coding,0.16980542
ENST00000659945.1,Non-coding,0.24637194
ENST00000658951.1,Non-coding,0.09995091
ENST00000414765.1,Non-coding,0.27218062
ENST00000650519.1,Coding,0.518167
ENST00000445072.1,Coding,0.60269296
ENST00000658142.1,Non-coding,0.1680382
ENST00000419614.1,Non-coding,0.06102436
ENST00000450681.1,Non-coding,0.043423053
ENST00000668705.1,Non-coding,0.07412119
ENST00000452178.1,Non-coding,0.24751286
ENST00000436905.5,Coding,0.8803553
ENST00000424735.1,Coding,0.5815668
ENST00000417409.1,Non-coding,0.38961715
ENST00000413356.1,Non-coding,0.07758557
ENST00000648197.1,Non-coding,0.037327
ENST00000563320.1,Coding,0.5193483
ENST00000434983.2,Non-coding,0.16112551
ENST00000664489.1,Non-coding,0.43283325
ENST00000430776.2,Non-coding,0.4081502
ENST00000432083.1,Non-coding,0.14300163
ENST00000428569.1,Non-coding,0.36809543
ENST00000643151.1,Non-coding,0.08709287
ENST00000642855.1,Non-coding,0.19968443
ENST00000644134.1,Non-coding,0.04070079
ENST00000646471.1,Non-coding,0.027315123
ENST00000644058.1,Non-coding,0.107386366
ENST00000434300.2,Non-coding,0.09007196
ENST00000646999.1,Non-coding,0.046364635
ENST00000645822.1,Non-coding,0.17783293
ENST00000646606.1,Non-coding,0.23096609
ENST00000644436.1,Coding,0.52632415
ENST00000644504.1,Non-coding,0.06791341
ENST00000655304.1,Non-coding,0.09007904
ENST00000657453.1,Non-coding,0.0672736
ENST00000647436.1,Non-coding,0.38091108
ENST00000451690.1,Non-coding,0.040562026
ENST00000642657.1,Non-coding,0.04108775
ENST00000457321.1,Coding,0.7579448
ENST00000420807.1,Coding,0.943534
ENST00000668188.1,Non-coding,0.051025413
ENST00000660235.1,Non-coding,0.063897565
ENST00000657700.1,Non-coding,0.034571778
ENST00000660270.1,Non-coding,0.37219393
ENST00000658112.1,Non-coding,0.07997493
ENST00000664477.1,Non-coding,0.107972845
ENST00000656143.1,Non-coding,0.17052592
ENST00000655677.1,Non-coding,0.023429027
ENST00000454538.1,Non-coding,0.05545553
ENST00000691564.1,Non-coding,0.30032676
ENST00000448412.2,Non-coding,0.46196032
ENST00000447056.1,Non-coding,0.08005956
